,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",-63.52949891902557,-63.150239995276415,-64.75467927014083,-65.53300493021938
"[45.0, 5.0, 75.0, 35.0]",-50.67985308877568,-51.20992477538206,-51.119629467004025,-51.217674160925824
"[5.0, 45.0, 35.0, 75.0]",-54.02947625830871,-54.00320658979893,-53.99390943563898,-58.319099697430296
"[45.0, 45.0, 75.0, 75.0]",-46.04989207421772,-46.20885187118794,-45.93957809176411,-46.00946099723893
"[45.0, 85.0, 75.0, 115.0]",-39.59211583788728,-40.117124953233926,-39.803323866680685,-40.05554686936117
"[45.0, 125.0, 75.0, 155.0]",-31.873084779927705,-31.992079607976414,-31.356474468096238,-31.49714998426777
"[45.0, 165.0, 75.0, 195.0]",-24.978249902756513,-24.73884052645626,-25.87023422188988,-25.286394482037952
"[85.0, 165.0, 115.0, 195.0]",-19.318353115740305,-19.138935721552965,-19.054600048296052,-19.08245617831583
"[85.0, 205.0, 115.0, 235.0]",-11.41340351454054,-10.926484346116611,31.694418958744105,-10.06372379939546
"[45.0, 205.0, 75.0, 235.0]",-16.72827790322541,-16.514280976841878,-5.783591744802341,-15.366059993626012
"[85.0, 245.0, 115.0, 275.0]",-9.886359539733915,-10.161499391150175,-10.190206146605474,-9.726303335945731
"[125.0, 205.0, 155.0, 235.0]",-5.126368015565301,-6.238321014822307,99.6141987090943,-4.9776742903289275
"[85.0, 125.0, 115.0, 155.0]",-25.9434836864818,-24.530283290396774,-19.021320909523272,-23.673181301642263
"[5.0, 205.0, 35.0, 235.0]",-22.939434565686923,-22.99511256466392,-22.371076624815757,-23.83815084850265
"[5.0, 245.0, 35.0, 275.0]",-19.2013733937266,-19.144624917533363,-19.79667623181464,-19.219732885934963
"[45.0, 245.0, 75.0, 275.0]",-14.528801764139288,-14.495582503818897,-14.432822893256679,-14.78103832024707
"[45.0, 285.0, 75.0, 315.0]",-11.951241604631273,-11.728689794728462,-11.737223945423185,-11.75900175884439
"[45.0, 325.0, 75.0, 355.0]",-11.242313909117343,-11.326529562735876,-11.508074085028708,-11.576549953781132
"[85.0, 325.0, 115.0, 355.0]",-8.550728860793704,-8.74510371720443,-9.141757759836084,-9.117422275070417
"[45.0, 365.0, 75.0, 395.0]",-10.272356884276045,-10.581791853029728,-10.348488550084948,-10.314432990955348
"[5.0, 365.0, 35.0, 395.0]",-12.330007576317726,-13.235529826456101,-12.181069450526424,-12.59655909523762
"[5.0, 325.0, 35.0, 355.0]",-13.596662241495121,-13.518193334045451,-14.48958746121204,-14.400669866203662
"[85.0, 285.0, 115.0, 315.0]",-9.210905924139267,-9.086723969048741,-8.970711077375103,-8.928778234443373
"[125.0, 245.0, 155.0, 275.0]",2.2397138384331825,-5.195000870146843,-5.961957543335276,-5.565888042138748
"[125.0, 285.0, 155.0, 315.0]",-5.568260140699125,-5.589443755723816,-5.54810890091249,-5.63806742759488
"[125.0, 325.0, 155.0, 355.0]",-6.105807215667466,-6.046172873163807,-6.060994938166859,-6.185711138721427
"[85.0, 365.0, 115.0, 395.0]",-8.867182021332894,-9.197651307091501,-8.337186534193812,-8.361109016871366
"[125.0, 365.0, 155.0, 395.0]",-6.352187026198494,-6.807145077407322,-6.3519400253785365,-6.272631581189174
"[5.0, 285.0, 35.0, 315.0]",-15.158778200639174,-15.088813310749778,-15.090653914732417,-16.38333372831071
"[165.0, 285.0, 195.0, 315.0]",-2.994258913820924,-3.5809353667797827,0.15977400850022228,-1.805437994122072
"[165.0, 325.0, 195.0, 355.0]",-4.731072444970291,-4.882859154391299,-4.351658766641997,-4.925773210118697
"[165.0, 365.0, 195.0, 395.0]",-6.151796128168056,-4.832432540964066,-4.4262798932663765,-4.360897501852493
"[5.0, 165.0, 35.0, 195.0]",-31.678673346028408,-31.66618674116466,-32.17675306389911,-32.62122375950046
"[5.0, 125.0, 35.0, 155.0]",-38.27826453320468,-38.18320691505834,-38.21322521987924,-40.84541641819247
"[5.0, 85.0, 35.0, 115.0]",-45.91652753349982,-45.83915221771919,-47.57612430251547,-46.33729617102956
"[85.0, 85.0, 115.0, 115.0]",-32.33223655288627,-32.67757280572201,-32.310619320707175,-32.86990900075811
"[85.0, 45.0, 115.0, 75.0]",-39.95066734327728,-39.320832835778475,-38.32128601183926,-38.365214043297826
"[85.0, 5.0, 115.0, 35.0]",-41.40058639831584,-40.906692722009474,-41.076235234432694,-40.64557098145253
"[125.0, 5.0, 155.0, 35.0]",-31.208909888722772,-30.876002082968284,-31.52339121274666,-30.89588688969813
"[125.0, 45.0, 155.0, 75.0]",-29.998432751625995,-29.827394598682524,-29.929883840604735,-29.922642771782726
"[125.0, 85.0, 155.0, 115.0]",-23.176377020964953,-17.750951310734607,-24.33036859977331,-24.602881227032963
"[165.0, 85.0, 195.0, 115.0]",-18.240111702590575,-18.319548627029175,-18.434751327507488,-19.13332678432643
"[165.0, 125.0, 195.0, 155.0]",-10.063569431381342,-10.23471452262345,-3.9379399070029164,-10.003492355365818
"[165.0, 165.0, 195.0, 195.0]",-8.086660349653041,-0.205817780245225,-7.883258509984826,-8.386385258503621
"[205.0, 165.0, 235.0, 195.0]",-3.693463654972682,-1.7437460040126593,8.022434781568839,-3.7720468035483616
"[205.0, 205.0, 235.0, 235.0]",-6.70334886080488,-6.445233233006334,170.06698109941706,-0.322806600680247
"[165.0, 205.0, 195.0, 235.0]",-13.346864993878857,-9.661175212273102,137.4569905136223,-0.9801545598111134
"[125.0, 165.0, 155.0, 195.0]",-10.286109112632952,51.05491775728686,-14.616412702875968,-17.161223662289554
"[205.0, 245.0, 235.0, 275.0]",-0.595375,-1.1485294858341821,45.99137083896893,-1.2457422279218924
"[205.0, 285.0, 235.0, 315.0]",-2.3529199622635057,-4.718975120445965,23.40817786203832,-0.21247623409693567
"[205.0, 325.0, 235.0, 355.0]",-3.182061680313257,-3.0099589245583003,-3.357231881836619,-3.1527566105764286
"[245.0, 285.0, 275.0, 315.0]",113.15373464163758,-0.11107197707005587,-0.13672290328721304,-0.1291342370437809
"[285.0, 285.0, 315.0, 315.0]",-1.0866501178912245,-1.1985087210091998,-0.08976713562373095,2.1639917754628013
"[325.0, 285.0, 355.0, 315.0]",-1.2246752527522458,-0.612610679774998,-0.52162918653202,-0.48077916208612365
"[325.0, 325.0, 355.0, 355.0]",-1.2327445253588265,-1.2141001203617765,-1.2248636763020735,-0.6282842712474619
"[285.0, 325.0, 315.0, 355.0]",-1.1977783726941351,-1.2163975672396727,-0.6223606797749979,-1.1600638083300419
"[245.0, 325.0, 275.0, 355.0]",11.768585456184653,-0.085875,-0.6005,-1.2112401635844283
"[245.0, 365.0, 275.0, 395.0]",-1.076440161398982,-2.386849857486964,-1.0969920594489393,-1.1051339829508728
"[285.0, 365.0, 315.0, 395.0]",-1.8433238841734585,-1.204143180426766,-0.9713890052093305,-0.9254486835083955
"[365.0, 325.0, 395.0, 355.0]",-0.8895854887057938,-0.8184922576785111,-1.2093773182791256,-1.8567018422305979
"[365.0, 285.0, 395.0, 315.0]",-0.8300546622328122,-0.8541310410205553,-1.2236334304267658,-0.8826603373080734
"[365.0, 245.0, 395.0, 275.0]",-1.069585132536807,-1.1337292062142692,-2.4554128641550603,-2.4742153773750006
"[325.0, 245.0, 355.0, 275.0]",-1.1839974285686028,-1.2181463161512438,-1.233295322407602,-1.1284642689218
"[285.0, 245.0, 315.0, 275.0]",-0.23565609909974136,-0.5837593699418895,0.0,11.7039701198
terminal,0.0,0.0,0.0,0.0
"[165.0, 45.0, 195.0, 75.0]",-25.356577630303956,-25.45240516686413,-23.074883869990163,-23.178783166791177
"[165.0, 5.0, 195.0, 35.0]",-26.454134486335217,-25.442961343646314,-25.655985737765306,-26.174899828763085
"[125.0, 125.0, 155.0, 155.0]",-16.83717596027462,10.40948160326266,-16.446230077859564,-17.430373882567753
"[205.0, 5.0, 235.0, 35.0]",-19.576705021300327,-19.96050171298617,-19.54218114704653,-19.577663448818853
"[205.0, 125.0, 235.0, 155.0]",-6.298348010946334,-7.166583897328456,32.19168029132899,-4.925122571857388
"[205.0, 85.0, 235.0, 115.0]",-13.290905348653997,-13.123271469484022,-13.042748751469016,-13.128415641902151
"[245.0, 85.0, 275.0, 115.0]",-4.812656631400161,54.09401488750398,-11.642141645812806,-12.229735274701268
"[245.0, 125.0, 275.0, 155.0]",-1.9138443789441826,115.88651864593851,-3.252722945025987,-2.155644195358139
"[285.0, 125.0, 315.0, 155.0]",-3.153562087434295,-3.085529647134546,-2.7729445446540524,5.719743213278145
"[285.0, 85.0, 315.0, 115.0]",-7.425881477695041,-7.8071777536426215,-7.643740418522251,-7.384020272458537
"[325.0, 85.0, 355.0, 115.0]",-7.33401000446392,-7.419103086032788,-7.289623331065791,-7.733267376599636
"[285.0, 45.0, 315.0, 75.0]",-9.354253045383478,-9.162724575248756,-9.073506111944175,-8.951883022892142
"[325.0, 125.0, 355.0, 155.0]",-5.67191200445304,-3.718908733837215,-3.5007580504065086,-3.467268579860982
"[325.0, 165.0, 355.0, 195.0]",-2.4909492238333266,-2.9474033320121618,-3.0396931587979172,-2.513249977557293
"[325.0, 205.0, 355.0, 235.0]",-1.1967139784979062,-1.1856433640203186,-0.603489491730293,0.5553451828728331
"[285.0, 165.0, 315.0, 195.0]",-2.4649488772637493,-2.5737287505682067,-3.1098810195906026,3.031031908883022
"[245.0, 165.0, 275.0, 195.0]",-0.18510454068133253,163.43046004690123,-8.632792245873384,-9.645924437167167
"[165.0, 245.0, 195.0, 275.0]",1.6098792532900057,-3.528397758063343,-3.116770454190066,-3.0477316670896264
"[245.0, 205.0, 275.0, 235.0]",12.881371234056093,199.97257306896466,8.091342507836496,9.441178348208563
"[365.0, 165.0, 395.0, 195.0]",-2.8503744728502656,-2.8751516548055327,-2.9748470058063736,-3.065123130156883
"[365.0, 205.0, 395.0, 235.0]",-1.5531770856887257,-1.5654317072609203,-1.776091054098023,-1.4898995124277126
"[285.0, 205.0, 315.0, 235.0]",-1.1658764585385581,-2.061383077108214,-0.24020012161998577,59.884554910668015
"[205.0, 45.0, 235.0, 75.0]",-20.537652552056862,-20.241736255484934,-12.993607530242068,-16.325586996100085
"[245.0, 45.0, 275.0, 75.0]",-10.187320588025123,9.526649560243845,-10.32866132617771,-9.983444692784978
"[325.0, 45.0, 355.0, 75.0]",-8.644269561068265,-9.682950963472441,-8.16020978463518,-8.181486950008956
"[365.0, 45.0, 395.0, 75.0]",-7.339485447813772,-7.334210292813541,-7.750333996826956,-7.3576054500037085
"[365.0, 85.0, 395.0, 115.0]",-5.799865500795521,-5.758490583913637,-5.880757498702557,-6.816472645559877
"[285.0, 5.0, 315.0, 35.0]",-10.390252520521171,-10.646576420723225,-10.424743568079496,-10.360758296021169
"[245.0, 5.0, 275.0, 35.0]",-13.076781950312823,-10.98283613219411,-12.620470482252125,-12.46232940092958
"[325.0, 5.0, 355.0, 35.0]",-11.545134003680149,-9.331927665822471,-8.907475591026317,-9.299422376368684
"[365.0, 5.0, 395.0, 35.0]",-8.11265720395798,-7.745145007431917,-8.11265720395798,-8.392060228599572
"[365.0, 125.0, 395.0, 155.0]",-4.118605141510836,-4.1772356599317195,-4.798770371610759,-4.171912621544778
"[205.0, 365.0, 235.0, 395.0]",-3.037647323677418,-2.9361157631998434,-2.8495393143367487,-2.797097911816459
"[325.0, 365.0, 355.0, 395.0]",-1.2324684038229607,-1.7864416916577395,-0.9635961683419713,-0.914214727175964
"[365.0, 365.0, 395.0, 395.0]",-0.9658639225778151,-1.7999690799160817,-1.2062493873355145,-0.9273059149499618
